ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N4153869250;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949667;-118.4710071;"[]"
N4153870239;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962962;-118.4707519;"[]"
N4153869252;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949696;-118.4709228;"[]"
N4153869251;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.994968;-118.4701044;"[]"
N4153869254;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949719;-118.4703436;"[]"
N4153869253;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949696;-118.4732714;"[]"
N4153869245;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949629;-118.4731947;"[]"
N4153870234;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962826;-118.4698353;"[]"
N4153869244;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949608;-118.4701192;"[]"
N4153870233;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962819;-118.4696361;"[]"
N4153869247;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949638;-118.4733107;"[]"
N4153870232;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962763;-118.4698306;"[]"
N4153869246;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949635;-118.4721125;"[]"
N4153870231;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962756;-118.4697182;"[]"
N4153869249;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949664;-118.4731883;"[]"
N4153870238;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962943;-118.4707504;"[]"
N4153869248;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.994964;-118.4711572;"[]"
N4153870237;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962914;-118.4698387;"[]"
N4153870236;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962885;-118.4698069;"[]"
N4153870235;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962865;-118.4702228;"[]"
N4153870230;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962735;-118.470024;"[]"
N4153869261;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949834;-118.4722834;"[]"
N4153869260;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949813;-118.4730069;"[]"
N4153869263;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.994985;-118.4711745;"[]"
N4153869262;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949843;-118.470511;"[]"
N4153869265;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949859;-118.4718142;"[]"
N4153869264;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949851;-118.4703268;"[]"
N4153869256;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949758;-118.4707832;"[]"
N4153870245;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9963071;-118.4697275;"[]"
N4153869255;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.994974;-118.4700148;"[]"
N4153870244;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.996303;-118.4700553;"[]"
N4153869258;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949793;-118.4700051;"[]"
N4153870243;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9963024;-118.4707401;"[]"
N4153869257;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949769;-118.4698281;"[]"
N4153870242;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9963014;-118.4697382;"[]"
N4153870249;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.996322;-118.4701716;"[]"
N4153869259;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949807;-118.4728742;"[]"
N4153870248;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9963196;-118.4701638;"[]"
N4153870247;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9963121;-118.4699651;"[]"
N4153870246;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.99631;-118.4699693;"[]"
N4153870241;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962983;-118.4698069;"[]"
N4153870240;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962982;-118.469722;"[]"
N4153870219;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962553;-118.4708241;"[]"
N4153870218;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962544;-118.4696893;"[]"
N4153870217;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962513;-118.470233;"[]"
N4153869230;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.994948;-118.4721009;"[]"
N4153869232;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949496;-118.4720979;"[]"
N4153869231;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949487;-118.4729887;"[]"
N4153869223;1586930;2016-04-28T16:34:39Z;true;1;38957342;33.9949426;-118.4731787;"[]"
N4153870212;1586930;2016-04-28T16:34:54Z;true;1;38957342;33.9962459;-118.4698688;"[]"
N4153869222;1586930;2016-04-28T16:34:39Z;true;1;38957342;33.9949392;-118.4729507;"[]"
N4153870211;1586930;2016-04-28T16:34:54Z;true;1;38957342;33.996243;-118.4698747;"[]"
N4153869225;1586930;2016-04-28T16:34:39Z;true;1;38957342;33.9949443;-118.4730785;"[]"
N4153870210;1586930;2016-04-28T16:34:54Z;true;1;38957342;33.996242;-118.470704;"[]"
N4153869224;1586930;2016-04-28T16:34:39Z;true;1;38957342;33.9949438;-118.4733183;"[]"
N4153869227;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949457;-118.473173;"[]"
N4153870216;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962497;-118.4704956;"[]"
N4153869226;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949452;-118.4721476;"[]"
N4153870215;1586930;2016-04-28T16:34:54Z;true;1;38957342;33.9962487;-118.4697682;"[]"
N4153869229;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949479;-118.4711855;"[]"
N4153870214;1586930;2016-04-28T16:34:54Z;true;1;38957342;33.9962463;-118.4706959;"[]"
N4153869228;1586930;2016-04-28T16:34:40Z;true;1;38957342;33.9949468;-118.4720958;"[]"
N4153870213;1586930;2016-04-28T16:34:54Z;true;1;38957342;33.9962463;-118.4700392;"[]"
N4153870229;1586930;2016-04-28T16:34:55Z;true;1;38957342;33.9962725;-118.4700106;"[]"
