ID;UserID;timestamp;isVisible;version;changesetID;members;tags
R5725162;1829683;2016-02-25T20:32:48Z;true;3;37446202;"[N122653036=via,W400039897=from,W400039897=to]";"[restriction=no_u_turn,type=restriction]"
R3353288;10165657;2020-03-17T20:39:03Z;true;9;82317812;"[N1792515162=label,W260234739=null,W781934751=outer,W782003252=outer,W782214996=outer,W33105441=outer,W781934753=outer,W781934765=outer]";"[boundary=administrative,admin_level=8,name=Santa Monica,place=city,wikipedia=en:Santa Monica, California,type=boundary,wikidata=Q47164]"
R177418;9062085;2020-01-23T03:09:32Z;true;29;79946442;"[W592147490=outer,W592147492=outer,W726977385=outer,W726977384=outer,W550976486=outer,W550976487=outer,W550976488=outer,W550976496=outer,W550976513=outer,W550976514=outer,W550976515=outer,W550976517=outer,W550976500=outer,W550976499=outer,W37927605=outer,W399506122=outer,W399506132=outer,W399506119=outer,W399506126=outer,W399506133=outer,W399506121=outer,W399506134=outer,W399506125=outer,W399506130=outer,W399506128=outer,W399510728=outer,W399510724=outer,W399510725=outer,W399510727=outer,W4883784=outer,W399506127=outer,W481422981=outer,W4883789=outer,W481422972=outer,W481422971=outer,W481422973=outer,W4883746=outer,W481422976=outer,W413548141=outer,W413548148=outer,W413548151=outer,W413548153=outer,W4883641=outer,W481422966=outer,W614584879=outer,W443668554=outer,W592262541=outer,W592262540=outer,W37927604=outer,W44289101=inner]";"[boundary=protected_area,protection_title=National Recreation Area,name=Santa Monica Mountains National Recreation Area,wikipedia=en:Santa Monica Mountains National Recreation Area,type=boundary,leisure=nature_reserve,wikidata=Q7419799]"
R8443743;703694;2020-06-02T07:22:05Z;true;16;86072848;"[W185081409=forward,W607246666=forward,W197409448=null,W129555460=null,W129555457=null,W250080658=null,W398422367=null,W763033291=null,W763033292=null,W603531531=null,W763033293=null,W765127602=null,W44651956=null,W765127603=forward,W244373201=forward,W244373200=forward,W244373193=forward,W398529305=forward,W765128842=forward,W398422366=forward,W244373195=forward,W398529310=null,W400031447=null,W398529298=null,W148356665=null,W194829670=forward,W607194243=forward,W398535856=forward,W398535855=forward,W295004431=forward,W384799883=forward,W759487753=forward,W759487751=forward,W44652780=forward,W607246638=forward,W158931619=forward,W181978123=forward,W181978128=forward,W197410039=forward,W59586128=forward,W158931633=forward,W181978124=forward,W181978130=forward,W158928264=forward,W607246636=forward,W384799884=forward,W759487752=forward,W759487754=forward,W398535857=forward,W705834886=forward,W168367855=forward,W59586127=null,W403725677=null,W42850708=forward,W382202690=forward,W382202672=forward,W403725658=forward,W244373202=forward,W30614189=forward,W607283913=forward,W42851978=forward,W244373191=forward,W746057296=forward,W403725659=forward,W382202684=forward,W382202677=forward,W244373192=forward,W384836756=null,W384836757=null,W403719340=null,W403719339=null,W403719336=null,W403719337=null,W403719338=null,W244373199=null,W13312305=null,W13312313=null,W397474737=null,W405306439=null,W355377036=null,W397474758=forward,W397474756=forward,W397474759=null,W397474757=forward,W397474760=forward,W397474752=null,W397474761=forward,W441985269=forward,W397474734=null,W512148840=null,W397474743=null,W397474742=null,W287002093=null,W397474739=null,W42901458=null,W397474718=null,W397474740=null,W397474749=null,W397474730=null,W397474746=null,W397474750=null,W397474741=null,W397474735=null,W136915034=null,W397474716=null,W397474726=null,W397474747=null,W397474719=null,W397474720=null,W397474753=null,W397474721=null,W397474733=null,W397474748=null,W397474722=null,W397474717=null,W397474751=null,W397474731=null,W397474744=null,W397474754=null,W397474738=null,W42851426=null,W397487920=null,W42851427=null,W397487924=null,W397487931=null,W384317314=null,W397487932=null,W397487933=null,W406467536=null,W197409447=null,W406467528=null,W406467544=null,W406467541=null,W406467551=null,W406467527=null,W170301028=forward,W521922690=forward,W522234916=forward,W508802353=forward,W168953779=forward,W369441035=forward,W256206049=forward,W722158642=forward,W384809716=forward,W398340942=forward,W398340943=forward,W397532381=forward,W406467538=forward,W384809717=forward,W406467545=forward,W406467535=forward,W256206048=forward,W42562004=null,W342200987=forward,W342200979=forward,W30603351=null,W609004330=null,W30603303=null,W397532374=null,W397532379=null,W397532376=null,W397532378=null,W397532382=null,W397532377=null,W398334414=null,W397532383=forward,W397532375=forward,W397932614=forward,W667762806=forward,W397932611=forward,W173579931=forward,W448059301=forward,W448059299=forward,W30263556=forward,W30263557=forward,W397532384=forward,W397532373=forward,W397532380=forward,W397932613=forward,W397932612=forward,W667762810=forward,W398333451=forward,W398333450=forward,W448059298=forward,W607246651=forward,W42562003=forward,W173579935=forward,W173579944=forward,W173579939=null,W607246649=null,W132673993=null,W13365010=null,W13337884=null,W667761122=null,W403712271=null,W403712270=null,W170301005=null,W403712266=null,W403712261=null,W403712267=null,W371956757=null,W403712257=null,W403712277=null,W403712276=null,W371981496=null,W403712259=null,W403712269=null,W403712268=null,W761722701=null,W761722699=null,W403712272=null,W761722700=null,W383060141=forward,W383060139=forward,W383060138=forward,W384972717=forward,W398204871=null,W371981477=null,W398204873=null,W398204870=null,W398204872=null,W398204877=null,W400204229=null,W398219786=null,W34547143=null,W398219787=null,W400052901=null,W398219785=null,W398219789=forward,W372116498=forward,W372116495=forward,W372116494=forward,W372116496=forward,W403712292=null,W372116497=null,W160289769=forward,W384975988=forward,W286010014=forward,W384978923=forward,W398222084=forward,W398222082=forward,W398222476=forward,W371981955=forward,W397525963=forward,W397525965=forward,W397525964=forward,W13407189=forward,W165877999=forward,W403712291=forward,W398221377=forward,W399969681=forward,W398221378=forward,W398221376=forward,W398221374=forward,W398219788=forward,W399951107=forward,W399951106=forward,W809446300=forward,W399951109=forward,W399951105=forward,W399951108=forward,W521619175=forward,W244371958=forward,W229938446=forward,W229938447=forward,W810662219=forward,W610339129=forward,W13437607=forward,W346131620=forward,W346131619=forward,W607283902=forward,W384836758=forward,W607246641=forward,W607283936=forward]";"[ref=18,route=bus,name=Big Blue Bus 18 UCLA - Abbot Kinney - Marina Del Rey,type=route,operator=Big Blue Bus,network=Big Blue Bus]"
R207359;10165657;2020-06-23T07:54:48Z;true;152;87019339;"[N1738808199=label,W38974718=outer,W542213249=outer,W475526374=outer,W475526375=outer,W547776262=outer,W547776263=outer,W692096587=outer,W475526358=outer,W475526355=outer,W474947193=outer,W38974727=outer,W33127198=outer,W475759288=outer,W475759291=outer,W475759322=outer,W475946525=outer,W475526353=outer,W475946526=outer,W475531724=outer,W475553493=outer,W528296271=outer,W528296269=outer,W504504564=outer,W475553498=outer,W475553460=outer,W504593428=outer,W505188299=outer,W475531732=outer,W504410595=outer,W692094814=outer,W818682001=outer,W475559126=outer,W260241167=outer,W260241166=outer,W593182425=outer,W785437732=outer,W33103343=outer,W249336872=outer,W818687122=outer,W790181302=outer,W782003258=outer,W249336874=outer,W260234736=outer,W33105441=outer,W782214996=outer,W782003252=outer,W781934751=outer,W781934753=outer,W781934765=outer,W781934764=outer,W260898375=outer,W33103026=outer,W782270143=outer,W260897406=outer,W173597582=outer,W260901774=outer,W122051378=outer,W782270141=outer,W781934746=outer,W781797582=outer,W260953532=outer,W781797579=outer,W781797571=outer,W781797576=outer,W781797573=outer,W260914302=outer,W790911894=outer,W790911899=outer,W173597598=outer,W783518428=outer,W33104157=outer,W785712463=outer,W173597605=outer,W785720737=outer,W261176610=outer,W261176609=outer,W260968675=outer,W260968649=outer,W378675800=outer,W783518426=outer,W33172345=outer,W260968648=outer,W260968652=outer,W260968654=outer,W781797568=outer,W781797559=outer,W781797562=outer,W790911900=outer,W261178827=outer,W261178828=outer,W262154146=outer,W262154147=outer,W787326257=outer,W787326256=outer,W781797564=outer,W781797565=outer,W787310335=outer,W787310337=outer,W263732188=outer,W261192157=outer,W782785992=outer,W782785991=outer,W261192159=outer,W33172179=outer,W787382997=outer,W261193796=outer,W261193794=outer,W261193797=outer,W787786571=outer,W787786577=outer,W261193798=outer,W787786578=outer,W33103183=outer,W787786580=outer,W787842206=outer,W787842207=outer,W790211784=outer,W790211781=outer,W790649492=outer,W789710749=outer,W789710748=outer,W262733137=outer,W789710747=outer,W262736015=outer,W791928280=outer,W816114569=outer,W816114570=outer,W791928277=outer,W473681006=outer,W473681009=outer,W473681008=outer,W473681005=outer,W473681000=outer,W782005826=inner,W782005822=inner,W782208680=inner,W794245214=inner,W794245213=inner,W787842203=inner,W33105723=inner,W789787793=inner,W782529740=inner,W782529729=inner,W782529728=inner,W782529737=inner,W517784378=inner,W260957878=inner,W782529727=inner,W782259160=inner,W782208690=inner,W33104780=inner,W781934756=inner,W781934755=inner,W781934758=inner,W781934759=inner,W781989124=inner,W781991724=inner,W261165210=inner,W33103664=inner,W724451882=inner,W724451880=inner,W782259161=inner,W782270142=inner,W782273710=inner,W782273702=inner,W33172221=inner,W261165212=inner,W261165214=inner,W782273705=inner,W782273708=inner,W782259153=inner,W781991719=inner,W33105391=inner,W781934762=inner,W781934761=inner,W33172263=inner,W781989122=inner,W260968683=inner,W261174388=inner,W768960879=inner,W785251733=inner,W790649494=inner,W790211778=inner,W790211780=inner,W785253618=inner,W785254438=inner,W785437730=outer]";"[boundary=administrative,name:ka=ლოს-ანჯელესი,name:mi=Ngā Ānahera,name:gan=洛杉磯,type=boundary,name:ko=로스앤젤레스,admin_level=8,name:it=Los Angeles,name:eo=Los-Anĝeleso,place=city,wikipedia=en:Los Angeles,name:es=Los Ángeles,name:zh=洛杉矶,name:ar=لوس أنجلس,name:ja=ロサンゼルス,name:fa=لوس آنجلس,name:pl=Los Angeles,name:he=לוס אנג'לס,population=4030904,name:ru=Лос-Анджелес,name:pt=Los Angeles,name:de=Los Angeles,name:hi=लॉस एंजिलस,is_in:iso_3166_2=US-CA,name=Los Angeles,name:fr=Los Angeles,short_name=LA,alt_name:ar=لوس أنجلوس,wikidata=Q65]"
R7408464;2508151;2017-07-20T20:18:28Z;true;1;50441586;"[W509078120=from,W509078115=to,N4450925466=via]";"[restriction=no_u_turn,type=restriction]"
R2249905;10465079;2019-11-15T03:50:52Z;true;128;77103495;"[N4252883589=stop,N4252867394=stop,N6281183298=stop,W25599868=forward,W603942827=forward,W603942826=forward,W603942827=forward,W13431580=forward,W399262548=null,W399262549=null,W237592463=null,W161707982=null,W405200498=null,W24707600=null,W29042913=null,W186070695=null,W256114876=null,W524448186=forward,W186070696=forward,W161930126=forward,W603568513=forward,W405178827=forward,W405178829=forward,W405178826=forward,W405178830=forward,W405178832=forward,W148385464=forward,W405178828=forward,W405178831=forward,W405178825=forward,W148385460=forward,W186076402=forward,W398738133=forward,W437912349=forward,W608204516=forward,W608204518=forward,W438257924=forward,W604060339=forward,W186076403=forward,W604086177=forward,W399243759=forward,W399243760=forward,W405178824=forward,W29042890=forward,W29042889=forward,W148385388=forward,W405178820=forward,W407591166=forward,W407591167=forward,W404995540=forward,W404995539=forward,W206372069=forward,W524575359=forward,W524575360=forward,W405163390=forward,W206372068=forward,W603531506=forward,W161688462=forward,W399241939=null,W399241938=null,W186076386=null,W399294729=null,W382256557=null,W399294726=null,W399294725=null,W399294727=null,W399294728=null,W235177035=null,W603568504=null,W399294721=null,W168954643=null,W399294722=null,W399294723=null,W399294724=null,W399294720=null,W398537197=forward,W150257687=forward,W161887948=forward,W604060326=forward,W604060316=forward,W603531521=forward,W603942829=forward,W603531526=forward,W683382938=forward,W456584287=forward,W607788592=null,W604060327=null,W121934301=null,W399257058=null,W288116305=null,W399257056=null,W399257057=null,W399256444=null,W399256442=null,W648604246=null,W381449426=null,W398748064=null,W398748075=null,W398748068=null,W398748054=null,W398748072=null,W398748071=null,W398748070=null,W398748067=null,W398748065=null,W398748058=null,W398748066=null,W398748060=null,W398748069=null,W398748056=null,W398748053=null,W398748062=null,W398748061=null,W398748063=null,W398748074=null,W398748057=null,W398748073=null,W398748059=null,W398199825=null,W398199832=null,W384790163=null,W398199822=null,W398199818=null,W398199827=null,W398199820=null,W398199831=null,W398199824=null,W398199819=null,W165560820=null,W398199829=null,W398199830=null,W165560858=null,W398199821=null,W398199823=null,W398199828=null,W398199826=null,W398222652=null,W398222672=null,W165560827=null,W398222656=null,W403725847=null,W398222654=null,W33871067=null,W509301437=null,W165784233=forward,W398222653=forward,W398222675=forward,W398222673=forward,W398222669=forward,W540175388=forward,W523856503=forward,W568941952=forward,W398222651=forward,W398222665=forward,W398094885=forward,W398094883=forward,W398094890=forward,W398094881=forward,W398094887=forward,W398094879=forward,W159257764=forward,W398094882=forward,W398094891=forward,W398724083=forward,W508815025=forward,W508815024=forward,W237019983=forward,W721905425=forward,W125239669=forward,W398724087=forward,W381230021=forward,W237019974=forward,W398543236=forward,W398543238=forward,W398542838=forward,W398542843=forward,W398542840=forward,W398542839=forward,W383989693=forward,W398592434=forward,W383989692=forward,W383989270=forward,W745530743=forward,W384281186=forward,W398591357=forward,W383989268=forward,W398591368=forward,W398591359=forward,W338171898=forward,W398591382=forward,W398591371=forward,W398591364=forward,W398591356=forward,W398591375=forward,W398589933=forward,W384176375=forward,W383987423=forward,W384290687=forward,W398589932=forward,W398589930=forward,W384290684=forward,W398589931=forward,W397973599=forward,W397973588=forward,W383987422=forward,W397973596=forward,W397973590=forward,W383986856=forward,W397973600=forward,W397973603=forward,W160556138=forward,W397973602=forward,W397973601=forward,W384292413=forward,W397971424=forward,W397971426=forward,W397971423=forward,W384292415=forward,W398233624=forward,W398233623=forward,W398233616=forward,W398233621=forward,W398233619=forward,W160556139=forward,W398194374=forward,W398194375=forward,W398194372=forward,W398194376=forward,W384295532=forward,W398194373=forward,W384295534=forward,W398194371=forward,W398218870=forward,W398218867=forward,W400043710=forward,W400043709=forward,W160654877=forward,W398218864=forward,W398218866=forward,W398218868=forward,W398218865=forward,W398218869=forward,W371956756=forward,W399980542=forward,W403712287=forward,W165878381=forward,W263169843=forward,W518103239=forward,W518103237=forward,W518103015=forward,W289414284=forward,W568941950=forward,W398222662=forward,W398222674=forward,W398222676=forward,W398222660=forward,W237019978=forward,W398094884=forward,W398094889=forward,W398094880=forward,W398094886=forward,W398094877=forward,W398094888=forward,W398094878=forward,W398094876=forward,W403730541=forward,W403730538=forward,W398722807=forward,W398722803=forward,W398722806=forward,W398722804=forward,W185218305=forward,W398722808=forward,W237019985=forward,W381230027=forward,W398722805=forward,W398542841=forward,W398543237=forward,W393132602=forward,W398542829=forward,W398542842=forward,W383989267=forward,W398542834=forward,W384280939=forward,W383989691=forward,W398592599=forward,W384281184=forward,W383989694=forward,W383989269=forward,W398592600=forward,W393132601=forward,W398592601=forward,W398592598=forward,W398593624=forward,W398593628=forward,W398593625=forward,W125239667=forward,W398593627=forward,W398593629=forward,W384176374=forward,W383987424=forward,W398593622=forward,W398593626=forward,W398593623=forward,W384290686=forward,W384290685=forward,W426502301=forward,W426503962=forward,W397973597=forward,W397973589=forward,W383986853=forward,W397973598=forward,W397973595=forward,W384292411=forward,W397971422=forward,W397971420=forward,W384292412=forward,W397971419=forward,W397971421=forward,W397971418=forward,W398233614=forward,W398233615=forward,W398233620=forward,W398233617=forward,W398233622=forward,W398233618=forward,W383986854=forward,W398196393=forward,W398196388=forward,W398196381=forward,W398196394=forward,W384295535=forward,W384295533=forward,W398196383=forward,W398218884=forward,W400043711=forward,W398218880=forward,W398218882=forward,W398218878=forward,W398218879=forward,W371981495=forward,W398218881=forward,W168954635=forward,W168954633=null,W607246665=null,W13439840=null,W44029495=forward,W13452375=null,W640609400=null,W403712285=null,W403712281=null,W403712283=null,W403712280=null,W403712282=null,W403712279=null,W165839503=null,W403712284=null,W403712286=null,W397528877=null,W397528876=null,W397528873=null,W397528862=null,W397528860=null,W397528872=null,W397528869=null,W397528863=null,W397528867=null,W397528865=null,W382736099=null,W397528861=null,W397528870=null,W397528866=null,W397528871=null,W397528864=null,W397528859=null,W397528868=null,W607283990=null,W397530384=null,W397528882=null,W397530379=null,W398333457=null,W397530372=null,W398333454=null,W397530380=null,W398333463=null,W30603269=null,W398333458=null,W397530378=null,W398333456=null,W397530375=null,W398333461=null,W397530374=null,W398333452=null,W397530377=null,W398333466=null,W397530383=null,W294764927=null,W398333459=null,W398333453=null,W398333455=null,W398333460=null,W294764926=null,W397530381=null,W294260923=null,W397530382=null,W397530376=null,W397530385=forward,W397530386=forward,W397530373=null,W30603240=null,W480950360=null,W197417310=null,W398340940=null,W398340938=null,W398340939=null,W398340941=null,W13306384=forward,W662724291=forward,W168954641=forward,W384314827=forward,W397524139=forward,W13450467=forward,W517497558=forward,W397532370=forward,W397532371=backward,W397532372=backward,W397532369=backward,W399269730=null,W399269728=null,W38333792=null,W399269727=null,W399269726=null,W399269729=null,W399284154=null,W399284155=null,W603942824=null,W603942825=forward,W603942822=forward,W603942821=forward,W603942820=forward]";"[ref=733,route=bus,public_transport:version=1,name=Metro 733,type=route,operator=Los Angeles County Metropolitan Transportation Authority,network=Metro Rapid]"
R7156203;2657157;2017-04-13T17:33:05Z;true;1;47750362;"[W420897639=from,N122787423=via,W383951584=to]";"[restriction=no_straight_on,type=restriction]"
R7156204;2657157;2017-04-13T17:33:05Z;true;1;47750362;"[W420897639=from,N122787423=via,W398208010=to]";"[restriction=no_left_turn,type=restriction]"
R7156202;2657157;2017-04-13T17:33:05Z;true;1;47750362;"[W420897639=from,N122787423=via,W420897639=to]";"[restriction=no_u_turn,type=restriction]"
