ID;UserID;timestamp;isVisible;version;changesetID;nodes;tags
W719933292;10086294;2019-08-29T14:35:03Z;true;1;73887074;"[N6757155128,N6757155130,N6757155129]";"[highway=service]"
W44034328;1330847;2017-06-10T01:27:45Z;true;5;49411079;"[N559841266,N559842575,N123302002,N123070158,N4026154824]";"[tiger:cfcc=A41,service=alley,tiger:reviewed=no,name=Flower Court,tiger:name_base=Flower,tiger:name_type=Ct,highway=service,tiger:county=Los Angeles, CA]"
W44034329;1586930;2016-04-27T18:22:50Z;true;4;38928879;"[N559841605,N559842572,N559841608]";"[abutters=residential,service=alley,name=Rose Place South,source=Yahoo,highway=service]"
W44034399;20587;2010-03-28T11:16:32Z;true;2;4254597;"[N559842572,N559842573]";"[abutters=residential,service=alley,name=4th Court,source=Yahoo,highway=service]"
W13412779;1330847;2017-06-10T01:21:29Z;true;4;49411079;"[N123139284,N122670513]";"[tiger:cfcc=A41,tiger:reviewed=no,name=Breeze Court,tiger:name_base=Breeze,tiger:name_type=Ct,highway=residential,oneway=yes,tiger:county=Los Angeles, CA]"
W13412777;1330847;2017-06-10T01:21:29Z;true;5;49411079;"[N123414173,N122499377]";"[tiger:cfcc=A41,service=alley,name=Breeze Court,tiger:name_base=Breeze,tiger:name_type=Ct,highway=service,tiger:county=Los Angeles, CA]"
W44034400;20587;2010-03-28T11:16:32Z;true;2;4254597;"[N559842574,N559842575]";"[service=alley,name=Rennie Court,highway=service]"
W44034401;703694;2020-05-26T07:16:06Z;true;3;85749688;"[N559842576,N559842578]";"[tiger:cfcc=A41,service=alley,name=Vernon Court,tiger:name_base=Vernon,tiger:name_type=Ct,highway=service,tiger:county=Los Angeles, CA]"
W44034402;703694;2020-05-26T07:16:06Z;true;5;85749688;"[N123776935,N123070159,N6788073337,N7558250645,N122925091]";"[tiger:cfcc=A41,service=alley,tiger:reviewed=no,name=Sunset Court,tiger:name_base=Sunset,tiger:name_type=Ct,highway=service,tiger:county=Los Angeles, CA]"
W44034403;20587;2010-03-28T11:16:33Z;true;2;4254597;"[N559842579,N559842580,N559842581,N559842576,N559842582,N559842583]";"[abutters=residential,service=alley,name=6th Court West,source=Yahoo,highway=service]"
W607246648;703694;2019-12-29T08:26:39Z;true;4;78972854;"[N122655571,N122655573,N122655576,N559838402,N4962851424,N122655578,N7092628777,N1723131772,N122655585]";"[tiger:cfcc=A41,surface=asphalt,lanes=2,maxspeed=25 mph,name=Rose Avenue,tiger:name_base=Rose,tiger:name_type=Ave,highway=tertiary,cycleway=shared_lane,tiger:county=Los Angeles, CA]"
W607246649;8107451;2018-07-12T05:56:59Z;true;1;60635081;"[N122476490,N559838397,N122655571]";"[tiger:cfcc=A41,name=4th Avenue,tiger:name_base=4th,tiger:name_type=Ave,highway=residential,tiger:county=Los Angeles, CA]"
W44034489;10240918;2019-09-03T08:20:16Z;true;4;74026738;"[N559843425,N6768759586,N6766060032,N559843427]";"[abutters=retail,service=alley,name=Sunset Court,source=Yahoo,highway=service]"
W44034491;20587;2010-03-28T11:16:34Z;true;2;4254597;"[N559843427,N559843426]";"[abutters=retail,service=alley,name=Hampton Court,source=Yahoo,highway=service]"
W44034496;703694;2019-11-11T05:55:20Z;true;4;76887687;"[N123273690,N122620736,N123273692,N2867186707,N122634702]";"[tiger:cfcc=A41,tiger:reviewed=no,name=5th Avenue,tiger:name_base=5th,tiger:name_type=Ave,highway=residential,tiger:county=Los Angeles, CA]"
W44034423;20587;2010-03-28T11:16:33Z;true;2;4254597;"[N559842791,N559842587,N559842792,N559842578,N559842790,N559842793]";"[abutters=residential,service=alley,name=5th Court,source=Yahoo,highway=service]"
W44034437;20587;2010-03-28T11:16:33Z;true;2;4254597;"[N559842875,N559842876]";"[abutters=residential,service=alley,name=4th Court,source=Yahoo,highway=service]"
W44034438;20587;2010-03-28T11:16:33Z;true;2;4254597;"[N559842877,N559842878,N559842879]";"[abutters=residential,service=alley,name=Hampton Court,source=Yahoo,highway=service]"
W44034439;20587;2010-03-28T11:16:33Z;true;2;4254597;"[N559842880,N559842878]";"[tiger:cfcc=A41,tiger:separated=no,service=alley,name=Vernon Court,tiger:tlid=141789483:141789484,tiger:name_base=Vernon,tiger:name_type=Ct,highway=service,tiger:source=tiger_import_dch_v0.6_20070809,tiger:county=Los Angeles, CA]"
W413242060;1586930;2016-04-25T05:35:54Z;true;1;38847644;"[N4145969244,N4145969245,N4145969247,N4145969248,N4145969246,N4145969243,N4145969244]";"[lacounty:bld_id=416652818935,building=yes,ele=9.3,height=5.3]"
W413242062;1586930;2016-04-25T05:35:54Z;true;1;38847644;"[N4145970243,N4145970298,N4145970137,N4145970106,N4145970117,N4145970113,N4145970243]";"[lacounty:ain=4286018025,building:units=2,lacounty:bld_id=416144821295,building=residential,ele=15.5,height=7.4,start_date=1907]"
W413242061;1586930;2016-04-25T05:35:54Z;true;1;38847644;"[N4145969755,N4145969730,N4145969766,N4145969767,N4145969860,N4145969894,N4145969755]";"[lacounty:ain=4286019008,building:units=2,lacounty:bld_id=416144821099,building=residential,ele=12.0,height=4.8,start_date=1964]"
W413242064;1586930;2016-04-25T05:35:54Z;true;1;38847644;"[N4145969289,N4145969295,N4145969296,N4145969293,N4145969285,N4145969283,N4145969289]";"[lacounty:ain=7570003010,building:units=1,lacounty:bld_id=415749820553,building=house,ele=8.0,height=5.8,start_date=2013]"
W413242063;1586930;2016-04-25T05:35:54Z;true;1;38847644;"[N4145970123,N4145970116,N4145970098,N4145970071,N4145970251,N4145970305,N4145970123]";"[lacounty:ain=4286018024,building:units=4,lacounty:bld_id=416096821305,building=residential,ele=17.2,height=9.4,start_date=1964]"
W413242066;1586930;2016-04-25T05:35:54Z;true;1;38847644;"[N4145970616,N4145970848,N4145970872,N4145970869,N4145970893,N4145970890,N4145970703,N4145970616]";"[lacounty:ain=4286003008,lacounty:bld_id=416909821451,building=industrial,ele=14.2,height=5.7,start_date=1956]"
W413242065;1586930;2016-04-25T05:35:54Z;true;1;38847644;"[N4145970466,N4145970426,N4145970661,N4145970709,N4145970670,N4145970671,N4145970466]";"[lacounty:ain=4286018031,building:units=4,lacounty:bld_id=416288821403,building=residential,ele=15.7,height=6.5,start_date=1907]"
W413242057;1586930;2016-04-25T05:35:53Z;true;1;38847644;"[N4145970920,N4145970953,N4145970871,N4145970864,N4145970815,N4145970791,N4145970920]";"[lacounty:ain=4288028026,building:units=2,lacounty:bld_id=415957821534,building=residential,ele=13.8,height=6.6,start_date=1963]"
W413242056;1586930;2016-04-25T05:35:53Z;true;1;38847644;"[N4145969942,N4145969957,N4145969913,N4145969889,N4145970011,N4145970027,N4145969942]";"[lacounty:ain=4286004007,building:units=2,lacounty:bld_id=2014073357290000,building=commercial,ele=13.9,height=4.8,start_date=1910]"
W413242059;1586930;2016-04-25T05:35:53Z;true;1;38847644;"[N4145969987,N4145969967,N4145970052,N4145970140,N4145969997,N4145969925,N4145969987]";"[lacounty:ain=4286004007,building:units=2,lacounty:bld_id=2014073357300000,building=commercial,ele=18.9,height=9.5,start_date=1910]"
W413242058;1586930;2016-04-25T05:35:53Z;true;1;38847644;"[N4145970096,N4145970092,N4145970120,N4145970043,N4145970010,N4145970095,N4145970096]";"[lacounty:ain=4286017008,building:units=2,lacounty:bld_id=416629821239,building=residential,ele=19.2,height=9.6,start_date=1905]"
W413242071;1586930;2016-04-25T05:35:55Z;true;1;38847644;"[N4145970788,N4145970755,N4145970749,N4145970735,N4145970790,N4145970822,N4145970816,N4145970788]";"[lacounty:ain=4286018032,building:units=2,lacounty:bld_id=416279821459,building=residential,ele=16.3,height=7.3,start_date=1906]"
W413242070;1586930;2016-04-25T05:35:55Z;true;1;38847644;"[N4145971098,N4145971113,N4145971086,N4145971071,N4145971075,N4145971063,N4145971090,N4145971098]";"[lacounty:ain=4288028051,building:units=1,lacounty:bld_id=416191821675,building=retail,ele=14.7,height=5.7,start_date=1968]"
W413242073;1586930;2016-04-25T05:35:55Z;true;1;38847644;"[N4145970294,N4145970290,N4145970418,N4145970455,N4145970341,N4145970340,N4145970318,N4145970260,N4145970294]";"[lacounty:ain=4286018028,building:units=6,lacounty:bld_id=416213821353,building=apartments,ele=16.0,height=7.2,start_date=1908]"
W413242072;1586930;2016-04-25T05:35:55Z;true;1;38847644;"[N4145970008,N4145970037,N4145969990,N4145969983,N4145969971,N4145969945,N4145969953,N4145969949,N4145970008]";"[lacounty:ain=4286019021,building:units=2,lacounty:bld_id=416327821205,building=residential,ele=15.0,height=5.8,start_date=1905]"
W413242075;1586930;2016-04-25T05:35:56Z;true;1;38847644;"[N4145970302,N4145970346,N4145970191,N4145970182,N4145970154,N4145970124,N4145970155,N4145970152,N4145970302]";"[lacounty:ain=4286019027,building:units=1,lacounty:bld_id=416360821311,building=house,ele=16.3,height=6.5,start_date=1908]"
W413242074;1586930;2016-04-25T05:35:55Z;true;1;38847644;"[N4145970856,N4145970849,N4145970844,N4145970827,N4145970830,N4145970825,N4145970863,N4145970894,N4145970856]";"[lacounty:ain=4286018015,building:units=1,lacounty:bld_id=416252821496,building=house,ele=15.6,height=6.1,start_date=2013]"
W413242077;1586930;2016-04-25T05:35:56Z;true;1;38847644;"[N4145970887,N4145970884,N4145970768,N4145970703,N4145970890,N4145970916,N4145970914,N4145970938,N4145970887]";"[lacounty:ain=4286003009,lacounty:bld_id=416946821488,building=commercial,ele=13.7,height=5.3,start_date=1955]"
W413242076;1586930;2016-04-25T05:35:56Z;true;1;38847644;"[N4145970003,N4145969973,N4145969977,N4145969944,N4145969941,N4145969911,N4145969888,N4145969962,N4145970003]";"[lacounty:ain=4286018020,building:units=2,lacounty:bld_id=416001821185,building=residential,ele=12.9,height=6.1,start_date=1907]"
W413242068;1586930;2016-04-25T05:35:55Z;true;1;38847644;"[N4145970450,N4145970441,N4145970447,N4145970432,N4145970459,N4145970594,N4145970488,N4145970450]";"[lacounty:ain=4286018028,building:units=6,lacounty:bld_id=416179821384,building=apartments,ele=13.6,height=5.2,start_date=1908]"
W413242067;3272286;2016-06-30T06:10:27Z;true;2;40382321;"[N4145971079,N4145971093,N4145971074,N4145971065,N4145971064,N4145971059,N4145971079]";"[lacounty:ain=4286003013,building:use=car_repair,lacounty:bld_id=416869821658,building=commercial,ele=12.2,height=3.3,start_date=1927]"
W413242069;1586930;2016-04-25T05:35:55Z;true;1;38847644;"[N4145970103,N4145970114,N4145970122,N4145970142,N4145970087,N4145970054,N4145970094,N4145970103]";"[lacounty:ain=4286019027,building:units=1,lacounty:bld_id=2014073360810000,building=house,ele=16.2,height=5.5,start_date=1908]"
W413242082;1586930;2016-04-25T05:35:56Z;true;1;38847644;"[N4145969483,N4145969375,N4145969373,N4145969372,N4145969364,N4145969366,N4145969363,N4145969453,N4145969483]";"[lacounty:ain=4286020007,building:units=6,lacounty:bld_id=416279820871,building=apartments,ele=17.8,height=10.4,start_date=1907]"
